"Sex","Age","NOTE","LHML","LHEB","LHHD","LHMLD","LHAPD","RHML","RHEB","RHHD","RHMLD","RHAPD","LRML","LRMLD","LRAPD","RRML","RRMLD","RRAPD","LFML","LFBL","LFEB","LFAB","LFHD","LFMLD","LFAPD","RFML","RFBL","RFEB","RFAB","RFHD","RFMLD","RFAPD","LTML","LTPB","LTMLD","LTAPD","RTML","RTPB","RTMLD","RTAPD","BIB","LIBL","RIBL","LAcH","RAcH","Brachial","Crural","IL UL/LL","IL LL/UL","CBR FHD","McH FHD","GRINE FHD","AVG FHD"
0,55,2,316,63,51.35,22.91,23.61,324,64,50.46,22.28,24.43,246,17.42,13.37,248,16.65,14.05,455,449,90,78.29,52.82,28.64,28.75,447,441,90,78.87,54.34,28.18,28.13,358,81,23.61,25.43,360,82,24.1,24.8,294,167,167,58.66,57.41,0.771875,0.796008869,0.7,1.428571429,82.766502,80.06562,85.01944,82.61718733
0,48,3,323,58,44.52,18.87,19.97,327,59,44.07,18.44,20.91,222.5,15.9,11.2,232.5,16.15,11.12,438,434,77,66.17,44.43,27.03,22.44,435,431,77,66.68,43.36,26.61,22.76,355,70.5,20.62,23.79,359,70,21.87,21.75,238.5,146,147,49.63,48.32,0.7,0.817869416,0.696282294,1.436199095,58.8745755,58.380905,63.05386,60.1031135
0,54,3,333.5,62,47.23,21.19,26.36,344,63,47.5,22.36,26.98,262.5,15.25,14.32,265,17.68,14.14,482,480,80.5,71.59,45.56,28.99,31.08,476,472,81,71.59,46.83,28.53,31.53,380,76,27.26,31.27,375,77,27.67,30.25,269,163,159,50.77,51.74,0.778597786,0.788100209,0.70344425,1.421576763,64.5484455,63.530605,68.27026,65.44977017
0,44,3,310.5,63,51.54,23.58,21.48,316,64,52.78,22.36,22.59,236,14.2,11.76,239,17,11.4,437.5,433,80.5,71.78,49.41,29.77,26.2,445,439,79,69.9,47.4,28.46,27.1,337,75,23.63,25.9,338,73,22.79,24.08,256,164,161,53.99,51.9,0.758180367,0.764872521,0.707223114,1.413980935,70.0002945,68.478795,73.28254,70.58720983
0,27,3,352,64,49.01,26.05,24.01,359.5,64,49.98,25.98,25,256,19.67,13.6,258,19.39,13.84,485.5,477,82,72.58,48.89,29.76,28.37,479,475,82.5,73.19,48.49,28.4,29.33,374,76,24.49,26,375,76,26.19,25.67,284,173,178,54.69,54.06,0.722417428,0.77656817,0.715202801,1.398204814,70.703361,69.11691,73.92892,71.24973033
0,42,3,340,65,48.85,21.14,20.22,341,67,48.68,20.96,21.67,245,15.23,13.27,251,16.22,13.45,466,463,84,74.17,46.87,29.12,26.12,462,458,85,74.06,46.39,28.09,25.96,358,75,24.14,27.72,352,74,24.13,26.3,276,170,168,53.18,51.53,0.728340675,0.765086207,0.718559219,1.391673747,65.621547,64.50457,69.25684,66.46098567
0,39,3,313,61,47.35,21.4,21.34,324,61,48.84,21.49,22.81,234,17.19,12.26,237,15.53,11.92,435,429,81.5,70.97,46.26,26.06,24.74,432.5,425,82,71.3,46.22,25.12,26.46,330,72,22.53,25.95,333,72,21.85,26.28,246,153,155,52.04,51.78,0.739403454,0.76426513,0.723946423,1.38131769,64.659456,63.63136,68.37232,65.55437867
0,50,3,305,60.5,44.9,18.91,19.99,310,61,44.55,19.4,21.14,222,14.05,11.93,223,14.42,12.11,424,422.5,82,71.95,48.68,29.16,27.13,419,417.5,81,70.76,48.17,30.69,27.93,331,74,22.63,28.52,326,72.5,22.73,25.43,272,152,151,54.55,52.37,0.723577236,0.779359431,0.706666667,1.41509434,70.0496325,68.523575,73.3279,70.6337025
0,47,3,331,68.5,45.98,21.36,23.14,331,67,47.08,22.07,23.93,243,16.47,12.16,252,16.86,12.14,451,447,85,73.58,46.7,29.6,28.64,450.5,445.5,84.5,73.75,46.82,29.5,28.64,374.5,74.5,24.19,30.29,372,77,24.16,28.79,268,167,169,52.65,53.52,0.747734139,0.828064337,0.702063107,1.424373379,65.942244,64.79564,69.55168,66.763188
0,45,3,299,55,43.59,20.55,24.34,297,57,44.64,20.84,26.01,221,15.96,11.83,223,17.78,12.53,409,408,74,63.65,41.99,27.8,24.74,403,400.5,84.5,74,42.1,26.68,25.6,328,70,21.65,25.09,327,70,22.67,24.87,247.5,147,146,48.08,47.53,0.744966443,0.806650246,0.708929789,1.410576923,54.3108105,54.238755,58.85806,55.80254183
0,46,3,309,64,45.62,21.4,21.22,311,66,45.78,20.83,22.75,230,15.42,13.72,232,16.54,12.84,430,428.5,80,69.03,43.04,26.77,25.62,428.5,426,81,70.67,43.62,26.19,27.83,347,71,22.08,25.64,351,71,24.22,24.89,243,153,151,48.2,49.44,0.74516129,0.81304601,0.695149374,1.438539741,57.480777,57.11587,61.77244,58.78969567
0,52,3,329,60,50.39,23.29,21.29,336,61,49.5,23.47,22.71,242,16.04,12.32,245,16.5,12.91,443,439,80,70.45,47.41,28.91,28.79,446,439,81,70.56,48.2,27.27,27.31,352,72,24.41,25.85,359,72,25.05,22.5,278,165,167,51.92,51.93,0.732330827,0.799775028,0.72,1.388888889,68.5201545,67.135395,71.92174,69.19242983
0,38,3,319,67,47.87,22.07,21.09,323,68,47.09,21.73,23.39,240.5,16.48,14.09,244.5,16.39,13.06,455,451.5,81,71.79,47.99,26.17,28.47,454.5,451,83,73.33,48.28,25.85,29.41,361.5,78,23.03,31.41,362,78,24.22,26.46,244,151,154,54.65,53.88,0.755451713,0.795492029,0.690140845,1.448979592,69.3342315,67.874265,72.67018,69.95955883
0,49,3,321.5,63,45.33,22.17,20.88,330.5,65,46.35,21.81,23.47,233.5,14.52,12.16,234.5,16.28,12.39,437,434,81,70.98,48.67,29.36,26.03,441.5,437.5,82,71.33,48.38,28.22,27.75,351,76,22.52,29.95,357,75,25.86,27.61,270,160,162,53.6,54.22,0.717791411,0.80591918,0.705956508,1.416517857,70.2963225,68.747475,73.5547,70.86616583
1,28,3,306.5,56.5,41.17,19.44,16.95,314.5,58,41.37,19.89,18.35,220,14.6,10.26,229,15.59,10.62,433,428,77,66.05,40.58,28.57,25.62,433,427,76.5,65.47,40.93,28.34,25.98,357,68,19.82,27.54,353,68,21.91,26.21,294,157,157,45.79,45.46,0.723027375,0.819861432,0.67893401,1.472897196,57.394467,51.350445,55.93234,54.89241733
0,48,3,318,68,51.36,21.6,21.42,322,68,50.47,21.84,22.26,231.5,16,11.91,236.5,16.44,11.54,458,456,91,80.88,53.16,31.38,27.29,458.5,455.5,92,81.75,54.34,29.05,28.08,353.5,83,23.88,28.1,360,83,25.98,26.12,289,173,171,55.83,55.33,0.73125,0.778505183,0.679754601,1.471119134,83.185875,80.44625,85.405,83.012375
0,40,3,328.5,60,49.87,22.73,20.88,326,62.5,48.88,23.6,24,246,17.41,12.93,246,17,12.94,470.5,467,84,73.3,50.35,28.37,28.57,474.5,470.5,84.5,72.57,49.71,28.09,28.47,374,79,24.17,28.13,376,77,25.18,27.52,269,159,157,55.75,55.77,0.751718869,0.793650794,0.67640118,1.47841256,74.009007,72.11717,76.96804,74.364739
0,44,3,325,59.5,50.32,21.05,20.08,326,59,49.13,20.27,20.67,230,14.32,10.79,231,13.43,11.6,407,406,79,68.19,45.97,29.57,25.62,426,425,82,72.06,46.05,29.57,25.49,343,73,21.78,26.42,348,76,21.98,24.05,238,153,154,49.55,49.92,0.708141321,0.829531813,0.729658793,1.370503597,64.092069,63.11639,67.85068,65.019713
0,29,3,319,60,47.18,20.95,21.74,323,60,46.79,21.93,22.05,237.5,17.94,13.3,242,16.75,13.33,425,423,79.5,69.45,45.52,31.14,27.05,422,420,81.5,70.06,45.82,30.31,26.67,350,74,24.91,29.51,351,72,24.56,28.45,265,157,152,51.84,51.34,0.746884735,0.827626919,0.724483204,1.380294249,63.253323,62.35513,67.07956,64.22933767
1,60,3,229.5,59,45.5,19.91,20,334,59,44.53,19.96,19.27,236.5,14.97,10.69,240.5,14.49,10.29,440.5,437,79,69.03,45.27,28.22,24.55,447.5,444,78,66.99,45.81,27.88,28.35,368,70,21.19,25.31,372,70,22.2,22.43,269,156,153,51.35,51.17,0.84649512,0.833333333,0.639127764,1.564632388,67.842036,62.06406,66.78472,65.56360533
1,44,3,326,58,45.04,18.74,18.02,332,61,44.84,18.97,17.97,225,16.65,11.04,227,16.15,10.71,445,440.5,81,70.44,45.75,27.57,24.41,443,438,80.5,71.29,45.32,28.03,24.64,368,75,21.43,25.03,370,73,22.09,24.03,293,169,166,52.29,51.54,0.686930091,0.831081081,0.682656827,1.464864865,67.831119,62.052865,66.77338,65.55245467
0,47,3,281,57,43.94,18.96,19.49,288,59,42.99,19.23,21.49,215,14.42,11.52,215,14.58,12,405,403,79,70.45,46.01,25.31,27.38,403.5,402,81,71.04,46.54,25.98,26.8,340.5,76,22.82,28.56,339,78.5,25.99,26.61,261,146,149,50.93,50.4,0.755711775,0.840445269,0.671370968,1.489489489,64.7457975,63.709725,68.4517,65.63574083
0,53,4,329,65,47.76,19.78,19.3,330.5,65,47.17,19.7,20.01,238,14.8,10.92,237,14.05,11.73,458.5,451.5,85,73.96,47.5,26.05,26.42,446,439,85,73.97,47.64,26.67,26.49,379,75,22.09,27.23,374,75,22.44,25.27,271,158,157,52.37,51.22,0.720242608,0.832504146,0.684464555,1.460996033,67.940433,66.60923,71.38876,68.646141
0,48,4,333,64,43.78,19.74,21.98,337,63,44.48,18.22,22.53,249,15.25,12.41,250,14.01,12.63,474,473,82,71.24,47.24,27.09,28.71,478,475.5,81,70.89,47.03,27.4,29.71,398,75,23.88,28.25,401,72,24.9,27.86,257,159,158,52.68,51.96,0.744776119,0.839285714,0.667618504,1.49786142,66.8673315,65.635265,70.40218,67.6349255
0,40,4,332,59.5,49.93,20.95,20.18,331.5,61,49.95,21.46,21.52,236,14.62,11.92,237,14.73,11.55,450,445,87,76.62,48.59,25.62,27.74,453,446,86,74.68,49.05,26.79,28.74,365.5,79,21.3,27.15,367,79,23.77,26.96,272.5,163,165,53.78,53.94,0.712886209,0.811184939,0.694894528,1.439067312,71.024058,69.40798,74.22376,71.55193267
0,36,4,321,59,43.8,20.41,22.65,317,61,44.88,21.32,24.41,237.5,14.6,13.89,239,14.93,14.22,426,422,75,64.19,47.45,27.42,29.47,427,421.5,76.5,66.97,47.32,27.21,29.07,362,70,23.07,28.06,369,69,24.85,27.62,246,153,152,52.93,52.07,0.746865204,0.856975381,0.703598485,1.421265141,67.4840565,66.195015,70.96918,68.21608383
0,50,4,326,64,47.39,22.11,20.65,328,64.5,47.93,21.69,21.89,252,16.42,11.59,249,16.18,11.76,458,453,84,72.26,47.87,28.43,26.99,456,451.5,85,72.85,48.27,28.36,27.86,367,75,22.73,26.63,367,76.5,24.55,25.91,267,156,159,53.12,51.69,0.766055046,0.803063457,0.700849515,1.426839827,69.173883,67.72873,72.52276,69.80845767
0,60,4,293,57.5,41.32,21.11,20.76,301,60,41.45,18.13,21.52,225.5,15.1,11.9,226,15.55,11.41,416,415,75,66.24,44.93,29.71,24.82,411,410,74,66.45,43.9,29.91,26.13,334,68,20.48,25.37,335,70,20.55,24.66,276,145,146,50.41,49.55,0.76010101,0.808948005,0.698863636,1.430894309,60.1573635,59.545185,64.23322,61.31192283
0,47,4,290.5,61,42.33,18.74,20.18,293,61.5,42.41,19.12,21.18,223,14.55,10.99,224,14.7,11.14,402,400,74,63.55,42.95,25.48,25.05,400,397,74,63.82,43.25,25.66,24.8,328,66,19.04,24.07,325,67,20.5,22.54,231.5,152,153,47.86,47.4,0.766066838,0.814214464,0.708247423,1.411935953,56.91339,56.6009,61.2508,58.25503
